Id,Label,timeset,elementType,Name
01de337951664697b67b7e4dba98408c,,,psu,E98791D1529120082
049a81294aac40cca92407d2cfd2657b,,,disk,W8HM11YG
06e6092b595c46d98fa82a5baad98fba,,,disk,0PY1BNVA
08cde659384c4aef95ae70f04fb1a8da,,,disk,0x5000cca0506bbd04
0e1bf8dbc58f4b47b4e8252b2909cd3a,,,disk,0x5000cca0506c7954
10.3.32.11,,,switch,HOC-Vblk-N9396-01
10.3.32.11-entPhysicalTable-149,,,networkchassis,10.3.32.11 N9K-C9396PX
10.3.32.11-entPhysicalTable-214,,,fixedslot,10.3.32.11 LinecardSlot-1
10.3.32.11-entPhysicalTable-215,,,expansionslot,10.3.32.11 LinecardSlot-2
10.3.32.11-entPhysicalTable-22,,,fixedmodule,10.3.32.11 SAL1946SX60
10.3.32.11-entPhysicalTable-23,,,expansionmodule,10.3.32.11 Module-2 40G Ethernet Expansion Module
10.3.32.11-entPhysicalTable-278,,,powersupplybay,10.3.32.11-entPhysicalTable-278
10.3.32.11-entPhysicalTable-279,,,powersupplybay,10.3.32.11-entPhysicalTable-279
10.3.32.11-entPhysicalTable-342,,,fanbay,10.3.32.11 FanBay-1
10.3.32.11-entPhysicalTable-343,,,fanbay,10.3.32.11 FanBay-2
10.3.32.11-entPhysicalTable-344,,,fanbay,10.3.32.11 FanBay-3
10.3.32.11-entPhysicalTable-38486,,,networkTempSensor,10.3.32.11-entPhysicalTable-38486
10.3.32.11-entPhysicalTable-38487,,,networkTempSensor,10.3.32.11-entPhysicalTable-38487
10.3.32.11-entPhysicalTable-38488,,,networkTempSensor,10.3.32.11-entPhysicalTable-38488
10.3.32.11-entPhysicalTable-38489,,,networkTempSensor,10.3.32.11-entPhysicalTable-38489
10.3.32.11-entPhysicalTable-38490,,,networkTempSensor,10.3.32.11-entPhysicalTable-38490
10.3.32.11-entPhysicalTable-470,,,psu,LIT19381B29
10.3.32.11-entPhysicalTable-471,,,psu,LIT19381C7J
10.3.32.11-entPhysicalTable-5206,,,Port,10.3.32.11 Linecard-1 Port-1
10.3.32.11-entPhysicalTable-5207,,,Port,10.3.32.11 Linecard-1 Port-2
10.3.32.11-entPhysicalTable-5208,,,Port,10.3.32.11 Linecard-1 Port-3
10.3.32.11-entPhysicalTable-5209,,,Port,10.3.32.11 Linecard-1 Port-4
10.3.32.11-entPhysicalTable-5210,,,Port,10.3.32.11 Linecard-1 Port-5
10.3.32.11-entPhysicalTable-5211,,,Port,10.3.32.11 Linecard-1 Port-6
10.3.32.11-entPhysicalTable-5212,,,Port,10.3.32.11 Linecard-1 Port-7
10.3.32.11-entPhysicalTable-5213,,,Port,10.3.32.11 Linecard-1 Port-8
10.3.32.11-entPhysicalTable-5214,,,Port,10.3.32.11 Linecard-1 Port-9
10.3.32.11-entPhysicalTable-5215,,,Port,10.3.32.11 Linecard-1 Port-10
10.3.32.11-entPhysicalTable-5216,,,Port,10.3.32.11 Linecard-1 Port-11
10.3.32.11-entPhysicalTable-5217,,,Port,10.3.32.11 Linecard-1 Port-12
10.3.32.11-entPhysicalTable-5218,,,Port,10.3.32.11 Linecard-1 Port-13
10.3.32.11-entPhysicalTable-5219,,,Port,10.3.32.11 Linecard-1 Port-14
10.3.32.11-entPhysicalTable-5220,,,Port,10.3.32.11 Linecard-1 Port-15
10.3.32.11-entPhysicalTable-5221,,,Port,10.3.32.11 Linecard-1 Port-16
10.3.32.11-entPhysicalTable-5222,,,Port,10.3.32.11 Linecard-1 Port-17
10.3.32.11-entPhysicalTable-5223,,,Port,10.3.32.11 Linecard-1 Port-18
10.3.32.11-entPhysicalTable-5224,,,Port,10.3.32.11 Linecard-1 Port-19
10.3.32.11-entPhysicalTable-5225,,,Port,10.3.32.11 Linecard-1 Port-20
10.3.32.11-entPhysicalTable-5226,,,Port,10.3.32.11 Linecard-1 Port-21
10.3.32.11-entPhysicalTable-5227,,,Port,10.3.32.11 Linecard-1 Port-22
10.3.32.11-entPhysicalTable-5228,,,Port,10.3.32.11 Linecard-1 Port-23
10.3.32.11-entPhysicalTable-5229,,,Port,10.3.32.11 Linecard-1 Port-24
10.3.32.11-entPhysicalTable-5230,,,Port,10.3.32.11 Linecard-1 Port-25
10.3.32.11-entPhysicalTable-5231,,,Port,10.3.32.11 Linecard-1 Port-26
10.3.32.11-entPhysicalTable-5232,,,Port,10.3.32.11 Linecard-1 Port-27
10.3.32.11-entPhysicalTable-5233,,,Port,10.3.32.11 Linecard-1 Port-28
10.3.32.11-entPhysicalTable-5234,,,Port,10.3.32.11 Linecard-1 Port-29
10.3.32.11-entPhysicalTable-5235,,,Port,10.3.32.11 Linecard-1 Port-30
10.3.32.11-entPhysicalTable-5236,,,Port,10.3.32.11 Linecard-1 Port-31
10.3.32.11-entPhysicalTable-5237,,,Port,10.3.32.11 Linecard-1 Port-32
10.3.32.11-entPhysicalTable-5238,,,Port,10.3.32.11 Linecard-1 Port-33
10.3.32.11-entPhysicalTable-5239,,,Port,10.3.32.11 Linecard-1 Port-34
10.3.32.11-entPhysicalTable-5240,,,Port,10.3.32.11 Linecard-1 Port-35
10.3.32.11-entPhysicalTable-5241,,,Port,10.3.32.11 Linecard-1 Port-36
10.3.32.11-entPhysicalTable-5242,,,Port,10.3.32.11 Linecard-1 Port-37
10.3.32.11-entPhysicalTable-5243,,,Port,10.3.32.11 Linecard-1 Port-38
10.3.32.11-entPhysicalTable-5244,,,Port,10.3.32.11 Linecard-1 Port-39
10.3.32.11-entPhysicalTable-5245,,,Port,10.3.32.11 Linecard-1 Port-40
10.3.32.11-entPhysicalTable-5246,,,Port,10.3.32.11 Linecard-1 Port-41
10.3.32.11-entPhysicalTable-5247,,,Port,10.3.32.11 Linecard-1 Port-42
10.3.32.11-entPhysicalTable-5248,,,Port,10.3.32.11 Linecard-1 Port-43
10.3.32.11-entPhysicalTable-5249,,,Port,10.3.32.11 Linecard-1 Port-44
10.3.32.11-entPhysicalTable-5250,,,Port,10.3.32.11 Linecard-1 Port-45
10.3.32.11-entPhysicalTable-5251,,,Port,10.3.32.11 Linecard-1 Port-46
10.3.32.11-entPhysicalTable-5252,,,Port,10.3.32.11 Linecard-1 Port-47
10.3.32.11-entPhysicalTable-5253,,,Port,10.3.32.11 Linecard-1 Port-48
10.3.32.11-entPhysicalTable-534,,,fan,10.3.32.11 Fan Module-1
10.3.32.11-entPhysicalTable-535,,,fan,10.3.32.11 Fan Module-2
10.3.32.11-entPhysicalTable-536,,,fan,10.3.32.11 Fan Module-3
10.3.32.11-entPhysicalTable-5718,,,Port,10.3.32.11 Expansion Module-2 Port-1
10.3.32.11-entPhysicalTable-5719,,,Port,10.3.32.11 Expansion Module-2 Port-2
10.3.32.11-entPhysicalTable-5720,,,Port,10.3.32.11 Expansion Module-2 Port-3
